table_name,column_name,value,replacement
"family_antecedents_treatment_line","family_member","Padre","First_Degree"
"family_antecedents_treatment_line","family_member","1r grado (no specif)","First_Degree"
"family_antecedents_treatment_line","family_member","prima materna","Second_Degree"
"family_antecedents_treatment_line","family_member","tia materna","Second_Degree"
"family_antecedents_treatment_line","family_member","Primo hermano patern","Second_Degree"
"family_antecedents_treatment_line","family_member","Primo hermano matern","Second_Degree"
"family_antecedents_treatment_line","family_member","Bisabuela materna","Third_Degree"
"family_antecedents_treatment_line","family_member","Prima hermana matern","Second_Degree"
"family_antecedents_treatment_line","family_member","Abuela materna","Second_Degree"
"family_antecedents_treatment_line","family_member","3 hermanas","First_Degree"
"family_antecedents_treatment_line","family_member","tía paterna","Second_Degree"
"family_antecedents_treatment_line","family_member","prima paterna","Second_Degree"
"family_antecedents_treatment_line","family_member","MARIDO",
"family_antecedents_treatment_line","family_member","Pare","First_Degree"
"family_antecedents_treatment_line","family_member","Abuela materana","Second_Degree"
"family_antecedents_treatment_line","family_member","madare","First_Degree"
"family_antecedents_treatment_line","family_member","TIA PATERNA 1","Second_Degree"
"family_antecedents_treatment_line","family_member","TIA PATERNA 2","Second_Degree"
"family_antecedents_treatment_line","family_member","TIA PATERNA 3","Second_Degree"
"family_antecedents_treatment_line","family_member","TIA PATERNA 4","Second_Degree"
"family_antecedents_treatment_line","family_member","primas hermanas","Second_Degree"
"family_antecedents_treatment_line","family_member","Hemana","First_Degree"
"family_antecedents_treatment_line","family_member","tio  materno","Second_Degree"
"family_antecedents_treatment_line","family_member","made","First_Degree"
"family_antecedents_treatment_line","family_member","hremano","First_Degree"
"family_antecedents_treatment_line","family_member","PRIMO PATERNO 1","Second_Degree"
"family_antecedents_treatment_line","family_member","PRIMO PATERNO 2","Second_Degree"
"family_antecedents_treatment_line","family_member","PRIMO PATERNO 3","Second_Degree"
"family_antecedents_treatment_line","family_member","PRIMO PATERNO 4","Second_Degree"
"family_antecedents_treatment_line","family_member","HERMNAO","First_Degree"
"family_antecedents_treatment_line","family_member","PRIMA HERMANA","Second_Degree"
"family_antecedents_treatment_line","family_member","MUJER",
"family_antecedents_treatment_line","family_member","PROGENITOR","First_Degree"
"family_antecedents_treatment_line","family_member","Herrmano","First_Degree"
"family_antecedents_treatment_line","family_member","tío materno 1","Second_Degree"
"family_antecedents_treatment_line","family_member","tío materno 2","Second_Degree"
"family_antecedents_treatment_line","family_member","tío materno 3","Second_Degree"
"family_antecedents_treatment_line","family_member","tío materno 4","Second_Degree"
"family_antecedents_treatment_line","family_member","tío materno 5","Second_Degree"
"family_antecedents_treatment_line","family_member","abuela materno","Second_Degree"
"family_antecedents_treatment_line","family_member","primo materno","Second_Degree"
"family_antecedents_treatment_line","family_member","TIA ABUELA","Third_Degree"
"family_antecedents_treatment_line","family_member","Primo paterno","Second_Degree"
"family_antecedents_treatment_line","family_member","Tío materna","Second_Degree"
"family_antecedents_treatment_line","family_member","Bisabuela paterna","Third_Degree"
"family_antecedents_treatment_line","family_member","h",
"family_antecedents_treatment_line","family_member","Hernano","First_Degree"
"family_antecedents_treatment_line","family_member","prima 2ª materna","Third_Degree"
"family_antecedents_treatment_line","family_member","tio paterno 2","Second_Degree"
"family_antecedents_treatment_line","family_member","tio paterno 3","Second_Degree"
"family_antecedents_treatment_line","family_member","hermana gemela","First_Degree"
"family_antecedents_treatment_line","family_member","hermano 3","First_Degree"
"family_antecedents_treatment_line","family_member","hermano 4","First_Degree"
"family_antecedents_treatment_line","family_member","hermano 5","First_Degree"
"family_antecedents_treatment_line","family_member","Bisabuela","Third_Degree"
"family_antecedents_treatment_line","family_member","hermana 1","First_Degree"
"family_antecedents_treatment_line","family_member","hermana 2","First_Degree"
"family_antecedents_treatment_line","family_member","prima segunda","Third_Degree"
"family_antecedents_treatment_line","family_member","1",
"family_antecedents_treatment_line","family_member","Abuelo materon","Second_Degree"
"family_antecedents_treatment_line","family_member","3 tias maternas","Second_Degree"
"family_antecedents_treatment_line","family_member","primas maternas","Second_Degree"
"family_antecedents_treatment_line","family_member","HERMANAS","First_Degree"
"family_antecedents_treatment_line","family_member","Primo Hermano","Second_Degree"
"family_antecedents_treatment_line","family_member","Tio 1","Second_Degree"
"family_antecedents_treatment_line","family_member","Tio 2","Second_Degree"
