"CUI","concat2_ub1bL48C24"
"C0000005","http://clarify2020.eu/entity/C0000005"
"C0000039","http://clarify2020.eu/entity/C0000039"
"C0000052","http://clarify2020.eu/entity/C0000052"
"C0000074","http://clarify2020.eu/entity/C0000074"
"C0000084","http://clarify2020.eu/entity/C0000084"
"C0000096","http://clarify2020.eu/entity/C0000096"
"C0000097","http://clarify2020.eu/entity/C0000097"
"C0000098","http://clarify2020.eu/entity/C0000098"
"C0000102","http://clarify2020.eu/entity/C0000102"
"C0000103","http://clarify2020.eu/entity/C0000103"
"C0000107","http://clarify2020.eu/entity/C0000107"
"C0000119","http://clarify2020.eu/entity/C0000119"
"C0000120","http://clarify2020.eu/entity/C0000120"
"C0000132","http://clarify2020.eu/entity/C0000132"
"C0000137","http://clarify2020.eu/entity/C0000137"
