CUI_ID,Gene
C1412211,adamts5
C1412212,adamts6
C1412213,adamts7
C1412214,adamts8
C1257533,adamts9
C1332020,adamts9
C1422803,adamtsl1
C1540185,adamtsl2
C1540186,adamtsl3
C1826407,adamtsl4
C1826408,adamtsl5
C1424318,adap1
C1424319,adap2
C1412215,adar
C1412216,adarb1
C1412217,adarb2
C1412218,adat1
C1427384,adat2
C2239292,adat3
C0879593,adc
C3539026,adc
C3890194,adc
C1425971,adck1
C1425972,adck2
C1424564,adck3
C1425974,adck4
C1427730,adck5
C1412220,adcy1
C1854580,adcy10
C1412221,adcy2
C1412222,adcy3
C1412223,adcy4
C1412224,adcy5
C1412225,adcy6
C1412226,adcy7
C1412227,adcy8
C1137703,adcy9
C1332025,adcy9
C1412228,adcyap1
C1412229,adcyap1r1
C1412230,add1
C1412231,add2
C1412232,add3
C3471494,adgb
C1412235,adh1a
C1412236,adh1b
C1412238,adh4
C1412239,adh5
C1412241,adh6
C1412242,adh7
C1424212,adhfe1
C1826411,adi1
C1969642,adig
C1540187,adipoq
C1540188,adipor1
C3537284,adipor1
C1540189,adipor2
C3537285,adipor2
C1412243,adk
C0013089,adm
C0215825,adm
C1412244,adm
C1428749,adm2
C1423715,adnp
C1823983,adnp2
C0001443,ado
C0670018,ado
C1428110,ado
C0001451,adora1
C1412245,adora1
C1412246,adora2a
C1527412,adora2a
C2828938,adora2a-as1
C1412247,adora2b
C1527413,adora2b
C1412251,adora3
C4048326,adora3
C1540190,adpgk
C1412252,adprh
C1427480,adprhl1
C1427481,adprhl2
C1332026,adra1a
C1412260,adra1a
C2932393,adra1a
C1332027,adra1b
C2932396,adra1b
C1412260,adra1d
C0391398,adra2a
C1332028,adra2a
C1412261,adra2c
C0001642,adrb1
C1439273,adrb1
C0001643,adrb2
C1367657,adrb2
C1439274,adrb3
C0753114,adrbk1
C1325131,adrbk1
C1366490,adrbk1
C1705403,adrbk1
C0285499,adrbk2
C1332030,adrbk2
C1705390,adrbk2
C1423708,adrm1
C1412262,adsl
C3539533,adsl
C1412263,adss
C1426678,adssl1
C1427421,adtrp
C1412266,aebp1
C1428341,aebp2
C1825622,aen
C1412268,aes
C2699274,aes
C1842350,afap1
C2239293,afap1l1
C1428531,afap1l2
C0216703,aff1
C1826604,aff1
C1826605,aff2
C1708616,aff3
C1706652,aff4
C1412274,afg3l2
C0242849,afm
C0810473,afm
C1412275,afm
C1427198,afmid
C0002210,afp
C0201539,afp
C1367597,afp
C1421661,afp
C1826607,aftph
C0071561,aga
C0162311,aga
C1412276,aga
C1424637,agap1
C1424636,agap2
C2681666,agap3
C1539152,agap4
C1539153,agap5
C1539154,agap6
C1540192,agbl1
C1826608,agbl2
C1826609,agbl3
C1826610,agbl4
C2239294,agbl5
C1412277,agc1
C1420153,agc1
C1412278,ager
C3812151,ager
C1415715,agfg1
